INDIVIDUAL BARSOTTI, Hércules B223h  2012 Coleção Bibliográfica 
INDIVIDUAL FIAMINGHI, Hermelindo F439h  2010 Coleção Bibliográfica
COLETIVO Oi Futuro O39h  2012 Coleção Bibliográfica 
INDIVIDUAL CAMARGO, Iberê C172i  2009 Coleção Bibliográfica 
COLETIVO Centro Cultural Light C397i  1997 Coleção Bibliográfica 
COLETIVO Università Degli eCampus Studi U58i  Coleção Bibliográfica 
COLETIVO Espaço Cultural Contemporâneo Venâncio E77i  2001 Coleção Bibliográfica 
COLETIVO Centro Cultural Banco do Brasil C397i  2012 Coleção Bibliográfica 
INDIVIDUAL LOMBARDI, Inés L842i  1996 Coleção Bibliográfica 
INDIVIDUAL FREITAS, Iole de F866i  1997 Coleção Bibliográfica 
INDIVIDUAL FREITAS, Iole de F866i  2010 Coleção Bibliográfica 
INDIVIDUAL FREITAS, Iole de F866i  2000 Coleção Bibliográfica 
INDIVIDUAL FREITAS, Iole de F862i  2007 Coleção Bibliográfica 
INDIVIDUAL FREITAS, Iole de F866i  2004 Coleção Bibliográfica 
INDIVIDUAL FREITAS, Iole de F862i  Coleção Bibliográfica 
INDIVIDUAL FREITAS, Iole de F866e  2003 Coleção Bibliográfica 
INDIVIDUAL SALDANHA, Ione S162i  2004 Coleção Bibliográfica 
INDIVIDUAL SALDANHA, Ione S162i  1996 Coleção Bibliográfica 
INDIVIDUAL ESPÍRITO SANTO, Iran do E77i  1998 Coleção Bibliográfica 
INDIVIDUAL PINI, Isa P654i  1989 Coleção Bibliográfica 
INDIVIDUAL PRADO, Isabela P896e  2012 Coleção Bibliográfica 
INDIVIDUAL MACHADO, Ivens M149i  2001 Coleção Bibliográfica 
INDIVIDUAL IVO, Gonçalo I96g  1996 Coleção Bibliográfica 
INDIVIDUAL SOLARI, Jean S684j  2012
INDIVIDUAL MUSATTI, Jeanete M985j  1999 Coleção Bibliográfica 
INDIVIDUAL COSTA, João José C837j  2008 Coleção Bibliográfica 
INDIVIDUAL BARRÃO, Jorge B223j  1986 Coleção Bibliográfica 
INDIVIDUAL PAULO, José P331q  2003 Coleção Bibliográfica 
INDIVIDUAL RESENDE, José R433j  1998 Coleção Bibliográfica 
INDIVIDUAL  TRIGO, Julian T828j  1994  Coleção Bibliográfica
COLETIVO Museu Ludwing M986  2012 Coleção Bibliográfica 
